1,芝,1000,騎手が菊沢一樹,前走馬体重が440kg以上,前走距離が1200m
2,芝,1000,父がロードカナロア,馬齢が5歳以上,前走着順が14着以内
3,芝,1000,馬番が16~18番,馬齢が4歳以下,前走条件が芝
4,芝,1200~1600,騎手が荻野極,前走着順が11着以内,馬齢が4歳以下
5,芝,1200,前走が同コース,所属が関東馬,頭数が15頭立て以上
6,芝,1400,枠番が8枠,前走着順が10着以内,所属が関西馬
7,芝,1600,前走が同コース,前走4角通過順が10番手以内,馬齢が4歳以下
8,芝,1800~2000,騎手が菅原明良,頭数が12頭立て以上,枠番が1~7枠
9,芝,2000,父がステイゴールド系,頭数が12頭立て以上,負担重量が52kg以上
10,芝,2000,前走条件が福島,頭数が12頭立て以上,所属が関東馬
11,芝,2200,父がキングカメハメハ系種牡馬,馬齢が3歳以下,間隔が中5週以内
12,芝,2200,父がディープインパクト系種牡馬,前走馬体重が460kg以上,頭数が16頭立て以下
13,芝,2200~2400,父がキングカメハメハ系種牡馬,枠番が1~4枠,性別が牡馬・セン
14,ダート,1200,騎手が津村明秀,馬齢が5歳以下,枠番が1~6枠
15,ダート,1200,騎手が原優介,所属が関東馬,馬齢が5歳以下
16,ダート,1200,前走条件が東京ダート1300,前走着順が8着以内,馬齢が3歳以上
17,ダート,1200~1800,騎手が今村聖奈,前走4角通過順が4番手以内,前走条件がダート
18,ダート,1800,騎手が丸山元気,枠番が5~8枠,負担重量が57.0kg以下
19,ダート,1200~1800,騎手が丹内祐次,前走馬体重が479kg以下,前走4角通過順が10番手以内
20,ダート,1800~2500,父がホッコータルマエ,性別が牝馬,馬番が1~12番
21,ダート,1800,父がグラスワンダー系種牡馬,性別が牡馬・セン,馬齢が4歳以下
22,ダート,1800,前走条件が小倉,馬齢が4歳以下,前走着順が9着以内
