1,芝,1200,騎手が丹内祐次,前走馬体重が440kg以上,前走頭数が14頭以上
2,芝,1200,前走条件が京都芝1200m,前走4角通過順が5番手以内,枠番が3~8
3,芝,1200,騎手が幸英明,前走着順が12着以内,馬番が6~18番
4,芝,1200,父がルーラーシップ,前走着順が13着以内,前走4角通過順が2番手以内
5,芝,1800,前走条件が中京芝1600m,馬齢が4歳以下,前走馬体重が460kg以上
6,芝,1800,父がダンジグ系,所属が関西馬,馬番が1~12番
7,芝,1800～2000,騎手が西村淳也,前走条件が右回り,前走頭数が9頭以上
8,芝,1800～2600,騎手が北村友一,馬齢が4歳以下,前走頭数が10頭以上
9,芝,2000,父がグラスワンダー系種牡馬,馬齢が3歳以下,馬番が1~8番
10,芝,2000,前走条件が阪神芝2000m,前走着順が7着以内,騎手が乗り替わり
11,芝,2600,父がステイゴールド系種牡馬,前走着順が8着以内,馬齢が5歳以下
12,芝,2000,父がロベルト系種牡馬,馬番が1~7番,出走頭数が16頭以内
13,ダート,1000,父がキンシャサノキセキ,前走4角通過順が9番手以内,前走頭数が前走同頭数以上
14,ダート,1000,最内枠,斤量が56kg以下,所属が関西馬
15,ダート,1000~1700,騎手が泉谷楓真,前走頭数が前走同頭数以上,馬齢が4歳以下
16,ダート,1000~1700,父がホッコータルマエ,斤量が55kg以下,馬齢が4歳以下
17,ダート,1000~1700,父がミッキーマイル,前走着順が9着以内,前走頭数が11頭以上
18,ダート,1700~2400,騎手が藤懸貴志,父がディープインパクト系以外の種牡馬,馬番が1~13番
19,ダート,1700~2400,騎手が角田大和,前走4角通過順が9番手以内,所属が関西馬
20,ダート,1700~2400,騎手が富田暁,前走着順が7着以内,馬齢が5歳以下
