1,芝,1400,騎手が戸崎圭太,間隔が中8週以内,騎手が乗り替わり
2,芝,1400,父がロードカナロア,馬番が9~18番,前走着順が14着以内
3,芝,1400,枠番が8枠,前走上がり3位以内,馬齢が3歳以下
4,芝,1400,騎手が田辺裕信,馬番が4~18番,前走着順が13着以内
5,芝,1400,騎手が戸崎圭太,父がヘイルトゥリーズン系以外,間隔が中12週以内
6,芝,1400~1600,父がイスラポニータ,前走着順が8着以内,調教師の所属が美浦
7,芝,1600,父がスクリーンヒーロー,前走着順が14着以内,調教師の所属が美浦
8,芝,1600,父がモーリス,馬齢が3歳以下,出走頭数が15頭以下
9,芝,1600,枠番が大外枠,馬齢が2歳,出走頭数が10頭以上
10,芝,1600,父がロードカナロア,前走の出走頭数が15頭以上,間隔が中3週以上
11,芝,1600,騎手が吉田豊,中8週以内,性別が牡馬・セン
12,芝,1600~2000,前走条件が中京芝,前走馬体重が450kg以上,枠番が1~7枠
13,芝,2000,父がキズナ,出走頭数が16頭立て以下,馬齢が3歳以下
14,芝,1800~2000,父がキズナ,出走頭数が16頭立て以下,馬齢が4歳以下
15,芝,2000,騎手が北村宏司,馬番が1~7番,出走頭数が16頭立て以下
16,芝,2300~2400,父がディープインパクト系,枠番が1~4枠,前走馬体重が440kg以上
17,芝,2400~3400,父がキングカメハメハ系,枠番が5~8枠,出走頭数が13頭立て以下
18,ダート,1300,枠番が大外枠,前走の出走頭数が14頭以上,前走馬体重が450kg以上
19,ダート,1400,父がカレンブラックヒル,性別が牡馬・セン,馬齢が5歳以下
20,ダート,1400,父がロードカナロア,前走4角5番手以内,性別が牡馬・セン
21,ダート,1400,父がシニスターミニスター,性別が牡馬・セン,前走着順が13着以内
22,ダート,1600,父がヘニーヒューズ,間隔が中2週以内,馬齢が5歳以下
23,ダート,1600,前走条件が阪神,馬齢が4歳以下,間隔が中7週以内
24,ダート,1600,父がキタサンブラック,前走着順が10着以内,馬齢が5歳以下
25,ダート,1600,父がヘニーヒューズ,性別が牡馬・セン,前走同頭数以上
26,ダート,1600,前走条件が中京ダート,性別が牡馬・セン,前走着順が8着以内
27,ダート,2100,騎手がC.ルメール,父・母父がミスタープロスペクター系以外,性別が牡馬・セン
28,ダート,2100,騎手が大野拓弥,前走着順が8着以内,前走中央場所
