1,芝,1200,父がビックアーサー,馬番が1~7番,出走頭数が11頭以上
2,芝,1200,騎手が菊沢一樹,前走馬体重が460kg以上,枠番が1~7枠
3,芝,1200,馬番が1~2番,前走同距離越,前走の出走頭数が10頭以上
4,芝,1200,前走条件が新潟1200m,前走4角通過順が11番手以内,馬齢が4歳以下
5,芝,1200~2000,父がキズナ,前走着順が12着以内,性別が牝馬
6,芝,1800,前走条件が京都,前走4角通過順が11番手以内,枠番が1~6枠
7,芝,1800,父がグラスワンダー系,馬齢が4歳以下,枠番が2~8枠
8,芝,1800,前走4角通過順が2番手以内,前走条件が中央場所,枠番が3~8枠
9,芝,2000,父がキズナ,前走上がり8位以内,馬齢が5歳以下
10,芝,2000,馬番が1~2番,前走上がり3位以内,前走着順が7着以内
11,芝,2000,前走条件が阪神1800m以上,前走着順が10着以内,枠番が1~7枠
12,芝,2600,馬番が1~2番,馬齢が4歳以下,前走着順が9着以内
13,芝,2600,父がステイゴールド系,前走条件が芝2400m以上,出走頭数が12頭以上
14,ダート,1150~1700,父がグラスワンダー系,前走4角通過順が11番手以内,前走クラスが今回以上
15,ダート,1150,父か母父がストームキャット系,前走着順が4着以内,負担重量が減量無し
16,ダート,1150,前走条件が阪神1200m,前走馬体重が460kg以上,間隔が中7週以内
17,ダート,1150,前走同条件,前走上がり4位以内,馬齢が4歳以下
18,ダート,1150,馬番が1番,間隔が中15週以内,馬齢が5歳以下
19,ダート,1700,父がシニスターミニスター,前走別距離,前走着順が11着以内
20,ダート,1700,前走条件が京都1800~1900m,間隔が中10週以内,馬齢が6歳以下
21,ダート,1700,前走条件が中山ダート1800m,前走着順が8着以内,馬齢が5歳以下
22,ダート,1700~2400,父がステイゴールド系,前走着順が10着以内,馬齢が5歳以下
